||||||
When using these data, please cite:||||||
Eitrheim and Klovland (2007). Short term interest rates in Norway 1818-2007 (pp.78-81). Norges Bank Occational Papers No. 38 (Ch. 1 in Eitrheim et al. [2007]).||||||
||||||
Notes:||||||
1) Bank dep. spec. = Bank deposits special terms||||||
2) Fin. comp. dep. = Finance companies deposit rate||||||
||||||
Norges Bank, Bankplassen 2, P.O. Box 1179 Sentrum, N-0107 Oslo. Tel +47 22 31 60 00||||||
Disclaimer||||||
||||||
Money market interest rates, end-of-month||||||
Month|Eurokrone 1M|Eurokrone 3M|Eurokrone 6M|Interbank O/N|Bank dep. spec.|Fin. comp. dep.
1959:05| |3.52| | | | 
1959:06| |3.74| | | | 
1959:07| |3.77| | | | 
1959:08| |3.47| | | | 
1959:09| |3.87| | | | 
1959:10| |3.84| | | | 
1959:11| |4.20| | | | 
1959:12| |4.54| | | | 
1960:01| |4.71| | | | 
1960:02| |4.37| | | | 
1960:03| |5.29| | | | 
1960:04| |5.16| | | | 
1960:05| |5.02| | | | 
1960:06| |5.66| | | | 
1960:07| |5.92| | | | 
1960:08| |5.27| | | | 
1960:09| |5.86| | | | 
1960:10| |5.22| | | | 
1960:11| |5.02| | | | 
1960:12| |4.42| | | | 
1961:01| |4.13| | | | 
1961:02| |4.48| | | | 
1961:03| |6.02| | | | 
1961:04| |5.38| | | | 
1961:05| |5.59| | | | 
1961:06| |7.00| | | | 
1961:07| |7.27| | | | 
1961:08| |7.14| | | | 
1961:09| |7.12| | | | 
1961:10| |6.13| | | | 
1961:11| |6.11| | | | 
1961:12| |6.44| | | | 
1962:01| |5.31| | | | 
1962:02| |5.52| | | | 
1962:03| |5.19| | | | 
1962:04| |4.38| | | | 
1962:05| |4.21| | | | 
1962:06| |4.47| | | | 
1962:07| |4.21| | | | 
1962:08| |4.19| | | | 
1962:09| |4.22| | | | 
1962:10| |4.08| | | | 
1962:11| |4.34| | | | 
1962:12| |4.25| | | | 
1963:01| |3.74| | | | 
1963:02| |3.86| | | | 
1963:03| |4.49| | | | 
1963:04| |4.34| | | | 
1963:05| |4.17| | | | 
1963:06| |4.01| | | | 
1963:07| |3.96| | | | 
1963:08| |4.14| | | | 
1963:09| |4.10| | | | 
1963:10| |4.18| | | | 
1963:11| |3.73| | | | 
1963:12| |3.85| | | | 
1964:01| |3.46| | | | 
1964:02| |4.01| | | | 
1964:03| |4.22| | | | 
1964:04| |4.28| | | | 
1964:05| |4.48| | | | 
1964:06| |4.51| | | | 
1964:07| |4.78| | | | 
1964:08| |4.72| | | | 
1964:09| |4.94| | | | 
1964:10| |4.82| | | | 
1964:11| |6.21| | | | 
1964:12| |5.70| | | | 
1965:01| |5.31| | | | 
1965:02| |5.85| | | | 
1965:03| |6.56| | | | 
1965:04| |5.95| | | | 
1965:05| |6.14| | | | 
1965:06| |5.85| | | | 
1965:07| |5.73| | | | 
1965:08| |5.75| | | | 
1965:09| |5.30| | | | 
1965:10| |5.35| | | | 
1965:11| |5.00| | | | 
1965:12| |5.25| | | | 
1966:01| |4.95| | | |6.09
1966:02| |5.02| | | |6.08
1966:03| |5.45| | | |6.10
1966:04| |5.62| | | |6.16
1966:05| |5.28| | | |6.19
1966:06| |5.78| | | |6.25
1966:07| |7.12| | | |6.29
1966:08| |6.63| | | |6.29
1966:09| |6.69| | | |6.33
1966:10| |6.71| | | |6.38
1966:11| |6.80| | | |6.47
1966:12| |6.33| | | |6.60
1967:01| |4.96| | | |6.57
1967:02| |4.88| | | |6.54
1967:03| |4.83| | | |6.54
1967:04| |4.60| | | |6.57
1967:05| |5.07| | | |6.56
