Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
"POLARIS MEDIA";NO0010466022;POL;"Oslo Børs";NOK;52.80;52.80;52.80;52.80;"02/02/2023 16:25";CET;1000;52800.00
POLIGHT;NO0012535832;PLT;"Oslo Børs";NOK;26.55;27.685;26.55;26.96;"02/02/2023 16:25";CET;77252;2080875.02
PROSAFE;NO0010861990;PRS;"Oslo Børs";NOK;150.00;152.80;145.20;146.60;"02/02/2023 16:25";CET;29854;4434179.00
"PROTECTOR FORSIKRG";NO0010209331;PROT;"Oslo Børs";NOK;148.00;149.60;143.40;145.20;"02/02/2023 16:25";CET;256318;37659145.80
Q-FREE;NO0003103103;QFR;"Oslo Børs";NOK;6.10;6.10;6.05;6.07;"02/02/2023 16:25";CET;16061;97365.92
"QUESTERRE ENERGY";CA74836K1003;QEC;"Oslo Børs";NOK;1.562;1.638;1.562;1.612;"02/02/2023 16:25";CET;1553271;2489924.22
"RANA GRUBER";NO0010907389;RANA;"Oslo Børs";NOK;62.50;62.50;61.60;62.00;"02/02/2023 16:25";CET;142287;8828319.20
"REACH SUBSEA";NO0003117202;REACH;"Oslo Børs";NOK;4.15;4.24;4.08;4.15;"02/02/2023 16:25";CET;177853;745580.18
"REC SILICON";NO0010112675;RECSI;"Oslo Børs";NOK;18.10;18.155;16.35;16.65;"02/02/2023 16:28";CET;13846681;235563243.54
"S.D. STANDARD ETC";CY0101550917;SDSD;"Oslo Børs";NOK;2.04;2.04;2.01;2.02;"02/02/2023 16:25";CET;352010;710769.86
"SAGA PURE";NO0010572589;SAGA;"Oslo Børs";NOK;1.807;1.82;1.785;1.7985;"02/02/2023 16:25";CET;483036;868937.94
SALMAR;NO0010310956;SALM;"Oslo Børs";NOK;468.00;472.40;411.00;435.60;"02/02/2023 16:29";CET;1167089;505060987.20
"SALMON EVOLUTION";NO0010892094;SALME;"Oslo Børs";NOK;8.10;8.20;8.06;8.20;"02/02/2023 16:25";CET;399985;3248052.42
"SALMONES CAMANCHAC";NO0012451915;SACAM;"Oslo Børs";NOK;39.995;40.97;39.00;39.00;"02/02/2023 16:39";CET;14754;585058.39
"SANDNES SPAREBANK";NO0006001007;SADG;"Oslo Børs";NOK;93.40;93.80;93.00;93.80;"02/02/2023 15:32";CET;2650;247475.60
"SAS AB";SE0003366871;SASNO;"Oslo Børs";NOK;0.46;0.4727;0.458;0.47;"02/02/2023 16:27";CET;2677361;1251569.71
SATS;NO0010863285;SATS;"Oslo Børs";NOK;8.00;8.49;8.00;8.20;"02/02/2023 16:26";CET;202909;1680976.31
SCANA;NO0003053308;SCANA;"Oslo Børs";NOK;1.398;1.398;1.354;1.356;"02/02/2023 16:28";CET;1722788;2364351.74
SCATEC;NO0010715139;SCATC;"Oslo Børs";NOK;84.64;89.34;84.64;88.18;"02/02/2023 16:28";CET;639748;56493226.20
"SCHIBSTED SER. A";NO0003028904;SCHA;"Oslo Børs";NOK;220.40;225.60;219.80;225.00;"02/02/2023 16:27";CET;203074;45486551.60
"SCHIBSTED SER. B";NO0010736879;SCHB;"Oslo Børs";NOK;212.60;217.40;211.80;216.60;"02/02/2023 16:28";CET;98600;21302455.40
"SEABIRD EXPLORAT";CY0101162119;SBX;"Oslo Børs";NOK;3.95;4.04;3.94;4.04;"02/02/2023 16:25";CET;265802;1056168.74
SEADRILL;BMG7997W1029;SDRL;"Oslo Børs";NOK;435.00;437.00;412.75;413.75;"02/02/2023 16:25";CET;106219;45494699.50
"SELF STORAGE GROUP";NO0010781206;SSG;"Oslo Børs";NOK;24.20;24.20;23.90;23.90;"02/02/2023 16:25";CET;6067;145650.10
"SELVAAG BOLIG";NO0010612450;SBO;"Oslo Børs";NOK;34.50;35.25;34.40;35.05;"02/02/2023 16:25";CET;114380;3989949.65
"SHELF DRILLING";KYG236271055;SHLF;"Oslo Børs";NOK;28.10;28.65;27.70;28.30;"02/02/2023 16:25";CET;1419868;40033542.20
"SIEM OFFSHORE";KYG812291253;SIOFF;"Oslo Børs";NOK;18.68;18.68;16.98;17.10;"02/02/2023 16:27";CET;696919;12381108.10
"SIKRI GROUP";NO0012548819;SIKRI;"Oslo Børs";NOK;8.929;9.138;8.74;9.137;"02/02/2023 16:25";CET;89580;803843.13
"SKUE SPAREBANK";NO0006001809;SKUE;"Oslo Børs";NOK;222.00;224.00;222.00;224.00;"02/02/2023 16:25";CET;680;151216.00
SMARTCRAFT;NO0011008971;SMCRT;"Oslo Børs";NOK;18.38;19.00;18.38;18.44;"02/02/2023 16:25";CET;51127;959450.88
"SOGN SPAREBANK";NO0006000603;SOGN;"Oslo Børs";NOK;146.00;146.00;146.00;146.00;"02/02/2023 16:03";CET;50;7300.00
"SOLSTAD OFFSHORE";NO0003080608;SOFF;"Oslo Børs";NOK;47.50;48.00;43.30;44.55;"02/02/2023 16:28";CET;1532484;70872864.15
"SPAREBANK 1 SMN";NO0006390301;MING;"Oslo Børs";NOK;127.20;127.40;126.20;127.00;"02/02/2023 16:25";CET;96361;12231685.80
"SPAREBANK 1 SR-BK";NO0010631567;SRBNK;"Oslo Børs";NOK;115.80;117.20;115.30;115.60;"02/02/2023 16:25";CET;226027;26278263.20
"SPAREBANK 1 SØRØ";NO0006000207;SOON;"Oslo Børs";NOK;54.00;54.00;52.80;52.80;"02/02/2023 15:54";CET;16933;897646.00
"SPAREBANKEN MØRE";NO0012483207;MORG;"Oslo Børs";NOK;82.90;83.00;80.69;80.69;"02/02/2023 16:25";CET;18307;1499568.49
"SPAREBANKEN SØR";NO0006001502;SOR;"Oslo Børs";NOK;130.00;131.50;130.00;131.00;"02/02/2023 16:17";CET;3795;496399.50
"SPAREBANKEN VEST";NO0006000900;SVEG;"Oslo Børs";NOK;97.00;98.20;96.40;97.20;"02/02/2023 16:25";CET;126458;12293872.70
"SPAREBANKEN ØST";NO0006222009;SPOG;"Oslo Børs";NOK;48.10;48.10;47.50;48.10;"02/02/2023 14:25";CET;35718;1714061.00
"SPBK 1 NORDMØRE";NO0010691660;SNOR;"Oslo Børs";NOK;121.00;121.00;121.00;121.00;"02/01/2023 16:07";CET;50;6050.00
"SPBK 1 ØSTLANDET";NO0010751910;SPOL;"Oslo Børs";NOK;116.20;116.20;114.40;114.80;"02/02/2023 16:25";CET;100198;11520682.60
